channel,svm_loo_accuracy,svm_loo_balanced_accuracy,svm_loo_auc,svm_kfold_accuracy,svm_kfold_balanced_accuracy,svm_kfold_auc,multirocket_accuracy,multirocket_balanced_accuracy,hc2_accuracy,hc2_balanced_accuracy
103,0.5,0.4798239178283199,0.4787234042553191,0.5333333333333333,0.5089875275128394,0.4973404255319149,0.7095238095238096,0.7027696258253853,0.7142857142857143,0.7000183418928834
108,0.5095238095238095,0.4914710198092443,0.2875091709464417,0.5095238095238095,0.4854181951577403,0.4308510638297873,0.7619047619047619,0.7582538517975055,0.7142857142857143,0.6959831254585473
106,0.5380952380952381,0.5143066764490096,0.4145267791636097,0.5380952380952381,0.5143066764490096,0.4700110051357299,0.7238095238095238,0.7187270726338959,0.7380952380952381,0.7266140865737344
118,0.5857142857142857,0.5634629493763756,0.2224871606749816,0.5714285714285714,0.545487894350697,0.4567131327953045,0.8,0.7987894350696991,0.7714285714285715,0.7638481291269259
116,0.5190476190476191,0.4950476889214967,0.5361793837123991,0.5238095238095238,0.4973404255319149,0.559336023477623,0.7619047619047619,0.7522010271460015,0.7666666666666667,0.7555025678650036
114,0.5428571428571428,0.5206346294937637,0.4696900220102715,0.5619047619047619,0.5398936170212766,0.4745047688921496,0.7904761904761904,0.7841159207630228,0.7428571428571429,0.7349596478356566
115,0.5238095238095238,0.4993580337490829,0.3496881878209831,0.5476190476190477,0.5178833455612619,0.4469460748349229,0.7714285714285715,0.7618305209097579,0.7047619047619048,0.6893800440205429
107,0.5714285714285714,0.544479090242113,0.5226980924431401,0.5619047619047619,0.5368672046955245,0.5346661775495232,0.6952380952380952,0.6898385913426266,0.7333333333333333,0.7202861335289802
112,0.5238095238095238,0.4993580337490829,0.2431217901687454,0.5190476190476191,0.4920212765957447,0.4795487894350697,0.7571428571428571,0.7529347028613353,0.7428571428571429,0.7389948642699926
117,0.5190476190476191,0.4960564930300807,0.5387013939838592,0.4857142857142857,0.4578136463683052,0.5740095377842994,0.7380952380952381,0.7306493030080704,0.719047619047619,0.7043286867204696
111,0.5333333333333333,0.5089875275128394,0.472028613352898,0.4857142857142857,0.4578136463683052,0.5574101247248716,0.7666666666666667,0.7635730007336757,0.7523809523809524,0.739545121056493
109,0.5,0.4808327219369039,0.2855832721936904,0.5190476190476191,0.4970652971386647,0.5104090242112986,0.6952380952380952,0.6837857666911226,0.7,0.6820432868672046
110,0.5333333333333333,0.5110051357300074,0.1119772560528246,0.5238095238095238,0.503393250183419,0.4737710931768158,0.6761904761904762,0.6746148202494497,0.6857142857142857,0.6731474688187822
120,0.5,0.4767975055025678,0.4414435069699193,0.5285714285714286,0.5077035950110051,0.4662509170946442,0.7904761904761904,0.7841159207630228,0.7380952380952381,0.7296404988994865
119,0.4952380952380952,0.4835840058694057,0.2323917828319882,0.4857142857142857,0.4689104915627292,0.4015040352164343,0.7952380952380952,0.7904438738077769,0.7619047619047619,0.7602714600146735
113,0.5238095238095238,0.503393250183419,0.5015590608950844,0.5476190476190477,0.527971386647102,0.480603448275862,0.7857142857142857,0.7787967718268525,0.8,0.7947542186353631
121,0.4714285714285714,0.4448826118855465,0.4677641232575201,0.4904761904761904,0.4671680117388114,0.530997798972854,0.7619047619047619,0.7562362435803375,0.7571428571428571,0.7499082905355833
122,0.5047619047619047,0.476063829787234,0.4132428466617754,0.5333333333333333,0.5059611151870873,0.4681309611151871,0.780952380952381,0.7795304475421864,0.7761904761904762,0.7681584739545122
123,0.5047619047619047,0.4881694790902421,0.3727989728539986,0.4952380952380952,0.4745047688921496,0.4472212032281731,0.7380952380952381,0.7336757153338225,0.7476190476190476,0.7352347762289069
124,0.5476190476190477,0.526962582538518,0.4737710931768158,0.5476190476190477,0.5219185619955979,0.496469185619956,0.7476190476190476,0.7392699926632429,0.7285714285714285,0.713958180484226
125,0.4476190476190476,0.4303925165077036,0.5522285399853265,0.4904761904761904,0.4701944240645634,0.5370506236243581,0.7523809523809524,0.7466067498165812,0.7761904761904762,0.7721936903888481
126,0.4523809523809524,0.4377292736610418,0.3791269258987527,0.4809523809523809,0.464600146735143,0.4381878209831255,0.7428571428571429,0.7389948642699926,0.7476190476190476,0.7412876008804108
127,0.5523809523809524,0.5332905355832722,0.3038334556126192,0.5476190476190477,0.530997798972854,0.4457079970652971,0.7333333333333333,0.7293653705062363,0.7380952380952381,0.7326669112252384
128,0.49523809523809526,0.4795487894350697,0.41608584005869403,0.5142857142857142,0.49779897285399854,0.5168745414526779,0.7714285714285715,0.7699009537784299,0.7142857142857143,0.7050623624358034
